name,code,keph,sub,lat,lon,pop,poorest,poor40,heat,flood,heat_poor,flood_poor,far,rwi,hot_days,rx5,river,km,max_km,assessed,assessed_name,risk,V
Baolala Dispensary,11244,Level 2,Malindi,-3.17962,39.78562,51625,9386,18773,14080,0,0,0,0,-0.344,17.3,85.3,28.7,3.5,6.1,True,Baolala Health centre,30.1,3.62
Timboni Community Dispensary,11851,Level 2,Kilifi North,-3.1843,39.7403,39775,1203,20601,39775,802,20601,401,0,-0.38,23.1,84.0,13.3,3.0,8.0,False,,,
Tsangatsini Dispensary,11859,Level 2,Kaloleni,-3.7144,39.4498,36417,15846,25051,0,0,0,0,0,-0.459,10.6,80.7,25.2,4.4,9.6,True,Tsangatsini Dispensary,33.0,3.67
Baricho Dispensary,11248,Level 2,Magarini,-3.1037,39.7846,34421,14706,24718,29728,0,20025,0,0,-0.494,21.9,85.0,49.1,4.2,6.0,False,,,
Kakuyuni Dispensary (Malindi),11453,Level 2,Malindi,-3.22034,40.0019,32852,9386,9386,0,0,0,0,0,-0.167,0.9,103.5,2.9,2.4,3.6,False,,,
Kakoneni Dispensary,11452,Level 2,Malindi,-3.1644,39.8659,29412,10013,14706,0,0,0,0,0,-0.33,12.5,86.6,49.1,3.0,4.7,False,,,
Chasimba Health Centre,11282,Level 3,Kilifi South,-3.7349,39.7,28574,0,10059,0,0,0,0,0,-0.18,1.0,97.3,28.9,3.5,7.1,True,Chasimba Health Centre,18.7,2.8
Rimarapera Dispensary,11617,Level 2,Ganze,-3.6256,39.3965,26527,11381,16592,401,13228,0,9620,10422,-0.463,14.7,77.1,46.7,10.5,25.8,False,,,
Gotani Dispensary,11404,Level 2,Kaloleni,-3.7865,39.5406,26411,1761,7043,0,0,0,0,0,-0.291,4.7,85.5,28.9,3.8,7.4,True,Gotani Model Health Centre,31.2,3.61
Madunguni Dispensary,11534,Level 2,Malindi,-3.1837,39.9748,25345,0,10013,0,0,0,0,0,-0.193,2.3,101.1,6.3,2.5,4.2,True,Madunguni Dispensary,31.7,3.67
Viragoni Dispensary,17689,Level 2,Kaloleni,-3.7012,39.534,23533,5683,11767,0,0,0,0,0,-0.383,6.2,81.3,28.9,3.8,8.6,False,,,
