lat,lon,mean_annual_rainfall_mm,days_above_35C_per_year,mean_daily_tmax_c
-3.972,39.43,878,7.1,29.9
-3.972,39.577,972,2.9,29.8
-3.972,39.723,980,0.3,29.3
-3.902,39.764,994,0.0,28.9
-3.972,40.016,1035,0.0,26.9
-3.972,40.163,994,0.0,26.9
-3.761,39.407,706,11.9,30.1
-3.761,39.553,747,3.5,29.7
-3.761,39.699,930,0.3,29.4
-3.761,39.846,892,0.0,28.8
-3.831,40.024,900,0.0,28.5
-3.831,40.171,949,0.0,26.9
-3.62,39.416,660,14.7,30.4
-3.62,39.562,701,5.1,29.9
-3.62,39.708,806,1.9,30.1
-3.62,39.854,848,0.0,29.2
-3.55,39.895,998,0.0,28.1
-3.62,40.146,909,0.0,26.9
-3.48,39.425,560,18.7,30.8
-3.48,39.571,586,7.5,29.9
-3.48,39.717,735,6.1,30.0
-3.48,39.862,832,0.0,28.4
-3.48,39.935,841,0.0,28.1
-3.48,40.154,932,0.0,26.9
-3.339,39.434,550,35.5,31.6
-3.339,39.58,575,19.1,30.9
-3.339,39.725,677,13.3,30.8
-3.339,39.871,739,1.3,29.4
-3.339,40.016,855,0.0,28.7
-3.269,40.057,861,0.0,28.7
-3.199,39.37,509,53.6,32.3
-3.199,39.516,543,41.5,31.8
-3.199,39.734,629,23.1,31.1
-3.199,39.879,671,10.1,30.5
-3.199,40.024,772,0.6,29.8
-3.199,40.097,787,0.0,28.7
-3.058,39.38,491,60.1,32.5
-3.058,39.525,519,49.4,32.1
-3.058,39.67,601,38.1,31.7
-3.058,39.815,646,20.4,31.0
-3.058,40.032,734,0.8,29.9
-3.058,40.105,717,0.0,29.0
-2.917,39.389,489,62.0,32.5
-2.917,39.533,515,56.5,32.4
-2.917,39.678,594,34.5,31.5
-2.917,39.823,625,20.3,31.0
-2.917,39.968,703,4.0,30.1
-2.917,40.113,688,0.0,29.3
-2.777,39.398,469,71.0,32.8
-2.777,39.542,488,46.4,32.1
-2.777,39.687,563,40.6,31.9
-2.777,39.831,567,18.9,31.0
-2.777,39.976,731,3.0,30.1
-2.777,40.12,703,0.3,30.0
-2.636,39.407,437,71.3,32.8
-2.636,39.551,440,60.4,32.5
-2.636,39.695,501,48.1,32.2
-2.636,39.84,521,19.8,31.3
-2.636,39.984,636,7.1,30.8
-2.566,40.168,697,4.5,30.2
-2.425,39.528,420,70.3,32.8
-2.425,39.672,482,69.9,32.7
-2.425,39.816,508,55.3,32.3
-2.425,40.032,569,51.1,32.1
-2.425,40.176,646,42.0,31.6
-3.761,39.261,610,12.4,30.0
-3.48,39.279,503,28.8,31.2
-3.199,39.225,438,41.6,31.9
-2.917,39.244,418,56.3,32.5
-2.636,39.262,403,72.2,32.8
-3.62,39.124,573,13.8,30.3
-3.339,39.143,441,26.9,31.3
