mfl_code,facility_name,keph_level,facility_type,sub_county,ward,owner_type,beds,latitude,longitude,coord_source,matched_name_2019,match_score,status
25679,Muyu Wa Kae,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,,,no match in 2019 inventory
25626,Mbudzi Community Health Centre,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,,,,,,no match in 2019 inventory
25369,Kavunyalalo Paziani Dispensary,Level 2,Dispensary,Malindi,Kakuyuni,Ministry of Health,0,,,,,,no match in 2019 inventory
25238,Migodomani Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,,,,,,no match in 2019 inventory
25168,Kaembeni Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,,,,,,no match in 2019 inventory
24889,Ndigiria Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,,,,,,no match in 2019 inventory
24363,Marikano Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,,,,,,no match in 2019 inventory
24209,Kaloleni GK Prison Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,,,,,,candidate rejected (low confidence)
24138,Tunzanani dispensary,Level 2,Dispensary,Kilifi South,Mtepeni,Ministry of Health,0,,,,,,no match in 2019 inventory
24137,Mtwapa dispensary-Shimo la Tewa,Level 2,Dispensary,Kilifi South,Shimo La Tewa,Ministry of Health,0,,,,,,no match in 2019 inventory
24136,Mwembe kati dispensary,Level 2,Dispensary,Kilifi South,Mwarakaya,Ministry of Health,0,,,,,,no match in 2019 inventory
24134,Kwajuaje Dispensary,Level 2,Dispensary,Rabai,Mwawesa,Ministry of Health,1,,,,,,no match in 2019 inventory
24133,Chiferi dispensary,Level 2,Dispensary,Rabai,Mwawesa,Ministry of Health,2,,,,,,no match in 2019 inventory
24135,Kanyumbuni Dispensary,Level 2,Dispensary,Rabai,Mwawesa,Ministry of Health,1,,,,,,no match in 2019 inventory
24131,Milalani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,1,,,,,,no match in 2019 inventory
24130,Bandari Dispensary,Level 2,Dispensary,Ganze,Bamba,Ministry of Health,0,,,,,,no match in 2019 inventory
24127,Mikiriani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,4,,,,,,no match in 2019 inventory
24121,Katsifitseni Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,4,,,,,,no match in 2019 inventory
24119,Kavunyalalo Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,4,,,,,,no match in 2019 inventory
24118,Mrima Wa Ndege Dispensary,Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,0,,,,,,no match in 2019 inventory
24117,Shirango Dispensary,Level 2,Dispensary,Ganze,Bamba,Ministry of Health,0,,,,,,no match in 2019 inventory
24115,Chumani Dispensary,Level 2,Dispensary,Kilifi North,Matsangoni,Ministry of Health,0,,,,,,candidate rejected (low confidence)
24120,Bore Imani Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,4,,,,,,no match in 2019 inventory
24108,Boyani Dispensary-TC,Level 2,Dispensary,Rabai,Rabai/Kisurutini,Ministry of Health,2,,,,,,no match in 2019 inventory
24049,Magarini Dispendary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,,,,,,candidate rejected (low confidence)
23958,Zowerani Dispensary,Level 2,Dispensary,Kilifi North,Tezo,Ministry of Health,0,,,,,,no match in 2019 inventory
23925,Uwanja Wa ndege Dispensary,Level 2,Dispensary,Rabai,Rabai/Kisurutini,Ministry of Health,2,,,,,,no match in 2019 inventory
21547,Ndatani Dispensary (Kaloleni),Level 2,Dispensary,Kaloleni,Kayafungo,Ministry of Health,1,,,,,,no match in 2019 inventory
23666,Makomboani Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,,,,,,no match in 2019 inventory
23653,Madzimbani Dispensary,Level 2,Dispensary,Kaloleni,Mariakani,Ministry of Health,1,,,,,,no match in 2019 inventory
23593,Mitsajeni Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,1,,,,,,no match in 2019 inventory
21546,Kasemeni dispensary,Level 2,Dispensary,Kaloleni,Kayafungo,Ministry of Health,2,,,,,,no match in 2019 inventory
23118,Shakahola Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,,,no match in 2019 inventory
23121,Kamale Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,,,no match in 2019 inventory
21539,Konjora Dispensary,Level 2,Dispensary,Kilifi North,Kibarani,Ministry of Health,0,,,,,,no match in 2019 inventory
21545,Kachororoni Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,,,,,,no match in 2019 inventory
22766,Jimba Dispensary,Level 2,Dispensary,Kilifi North,Watamu,Ministry of Health,0,,,,,,no match in 2019 inventory
22481,Kilifi GK Prison VCT,Level 2,VCT,Kilifi North,Sokoni,Ministry of Health,0,,,,,,no match in 2019 inventory
21541,Mkondoni Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,,,,,,no match in 2019 inventory
21542,Sosobora Dispesary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,,,,,,no match in 2019 inventory
21787,Mulunguni Dispensary,Level 2,Dispensary,Magarini,Marafa,Ministry of Health,1,-2.9790797,39.7715075,Google Earth,Mulunguni Dispensary,1.0,matched
21257,Mkanyeni Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,,,,,,no match in 2019 inventory
21213,Mjanaheri Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.0793,40.1409,GPS,Mjanaheri Dispensary,1.0,matched
