layer,lat,lon,value,unit,source
flood_rain_rx5day,-3.972,39.43,98.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.972,39.577,107.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.972,39.723,115.5,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.902,39.764,113.6,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.972,40.016,141.4,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.972,40.163,144.0,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.761,39.407,80.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.761,39.553,84.8,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.761,39.699,100.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.761,39.846,103.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.831,40.024,117.6,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.831,40.171,140.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.62,39.416,80.4,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.62,39.562,77.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.62,39.708,90.8,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.62,39.854,100.2,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.55,39.895,106.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.62,40.146,127.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.48,39.425,75.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.48,39.571,71.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.48,39.717,85.8,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.48,39.862,93.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.48,39.935,97.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.48,40.154,125.2,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.339,39.434,85.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.339,39.58,88.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.339,39.725,89.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.339,39.871,86.4,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.339,40.016,99.6,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.269,40.057,107.5,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.199,39.37,72.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.199,39.516,76.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.199,39.734,83.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.199,39.879,86.8,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.199,40.024,104.0,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.199,40.097,104.4,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.058,39.38,69.5,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.058,39.525,78.0,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.058,39.67,82.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.058,39.815,85.8,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.058,40.032,106.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.058,40.105,102.4,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.917,39.389,73.6,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.917,39.533,79.4,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.917,39.678,80.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.917,39.823,79.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.917,39.968,90.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.917,40.113,88.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.777,39.398,64.0,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.777,39.542,67.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.777,39.687,71.5,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.777,39.831,71.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.777,39.976,91.0,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.777,40.12,95.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.636,39.407,60.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.636,39.551,60.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.636,39.695,66.0,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.636,39.84,68.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.636,39.984,83.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.566,40.168,94.2,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.425,39.528,58.3,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.425,39.672,64.6,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.425,39.816,65.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.425,40.032,71.2,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.425,40.176,78.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.761,39.261,73.9,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.48,39.279,72.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.199,39.225,65.2,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.917,39.244,65.7,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-2.636,39.262,56.5,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.62,39.124,69.6,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_rain_rx5day,-3.339,39.143,66.1,mm per 5 days,"ERA5 via Open-Meteo, 2005-2024"
flood_river_discharge,-3.975,39.375,187.14,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.975,39.575,9.55,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.975,39.675,12.4,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.975,39.875,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.975,40.025,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.975,40.125,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.775,39.375,0.27,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.775,39.575,5.52,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.775,39.675,1.03,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.775,39.875,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.775,40.025,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.775,40.125,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.675,39.375,3.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.675,39.575,28.92,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.675,39.675,3.11,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.675,39.875,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.675,40.025,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.675,40.125,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.475,39.375,86.32,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.475,39.575,5.12,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.475,39.675,151.97,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.475,39.875,0.83,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.475,40.025,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.475,40.125,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.325,39.375,19.14,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.325,39.575,124.99,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.325,39.675,2.01,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.325,39.875,0.24,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.325,40.025,2.9,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
flood_river_discharge,-3.325,40.125,0.0,m3/s,"Copernicus GloFAS via Open-Meteo, 2005-2024"
