name,code,keph,sub,lat,lon,pop,poorest,poor40,heat,flood,heat_poor,flood_poor,far,rwi,hot_days,rx5,river,km,max_km,assessed,risk,V
Rimarapera Dispensary,11617,Level 2,Ganze,-3.6256,39.3965,54265,22695,31498,666,23460,0,16131,26168,-0.487,14.6,76.9,42.1,11.4,25.8,False,,
Adu Dispensary,11198,Level 2,Magarini,-2.8398,39.9799,39558,17307,32141,0,0,0,0,6181,-0.574,3.6,90.4,23.5,7.0,24.6,True,35.3,4.09
Tsangatsini Dispensary,11859,Level 2,Kaloleni,-3.7144,39.4498,32280,5614,16841,0,0,0,0,0,-0.44,10.7,80.6,24.8,4.8,9.6,False,,
Sokoke Dispensary,11802,Level 2,Ganze,-3.5215,39.767,32053,15183,20244,0,32053,0,20244,0,-0.512,3.3,91.3,152.0,4.1,6.6,False,,
Mtoroni Dispensary,18309,Level 2,Magarini,-2.86116,40.15056,29669,9890,13598,0,0,0,0,19779,-0.477,1.7,93.1,6.0,13.8,26.6,False,,
Palakumi Dispensary,11730,Level 2,Ganze,-3.6213,39.6059,26311,13226,18698,0,13013,0,10277,0,-0.579,4.1,82.3,89.8,4.8,8.0,False,,
Madamani Dispensary,11532,Level 2,Ganze,-3.3938,39.7484,26142,5061,16020,0,26142,0,16020,0,-0.464,8.5,88.2,152.0,3.9,7.3,False,,
Viragoni Dispensary,17689,Level 2,Kaloleni,-3.7012,39.534,25262,5614,9824,0,0,0,0,0,-0.36,6.5,80.7,28.9,4.4,8.6,False,,
Jaribuni Dispensary,11430,Level 2,Ganze,-3.6326,39.7427,23648,1687,7238,0,10367,0,3374,0,-0.279,1.5,94.1,76.8,3.6,5.9,False,,
Gongoni Health Centre,11401,Level 3,Magarini,-3.0361,40.1334,22719,0,3787,0,0,0,0,1262,-0.024,0.2,99.9,4.0,4.9,10.6,False,,
Fundi Issa Dispensary,11379,Level 2,Magarini,-2.92982,40.09493,22537,6233,9994,0,0,0,0,0,-0.444,0.5,91.3,7.1,4.5,7.7,False,,
Bamba Sub-County Hospital,11237,Level 4,Ganze,-3.5454,39.5237,21985,2665,8661,0,19986,0,7995,0,-0.369,10.1,75.7,114.9,5.4,8.4,True,24.8,3.4
Karimboni Dispensary,20344,Level 2,Magarini,-3.0959,39.9935,21457,8835,12622,0,0,0,0,0,-0.522,1.6,103.7,46.4,4.0,6.9,False,,
Mirihini Dispensary,11618,Level 2,Ganze,-3.43813,39.59241,21319,1332,11992,1332,21319,1332,11992,666,-0.409,13.5,79.1,151.2,5.8,11.2,True,38.3,4.43
Chasimba Health Centre,11282,Level 3,Kilifi South,-3.7349,39.7,21255,0,5797,0,0,0,0,0,-0.221,1.1,96.4,28.9,4.0,7.1,True,24.0,3.44
Gotani Dispensary,11404,Level 2,Kaloleni,-3.7865,39.5406,21052,1403,5614,0,0,0,0,0,-0.291,4.7,85.5,28.9,3.8,7.4,False,,
Bombi Dispensary,11256,Level 2,Magarini,-3.07925,39.47874,20638,11222,18069,20638,0,18069,0,9512,-0.634,54.1,73.4,17.4,10.0,27.4,False,,
Baricho Dispensary,11248,Level 2,Magarini,-3.1037,39.7846,20065,5023,6285,18803,0,5023,0,0,-0.396,22.4,85.0,49.1,3.8,6.0,False,,
